cluster_id,labels,auc,pre_micro,pre_macro
0,"['anzüge', 'kostüme', 'hosen', 'kleider']",0.9200719145469063,0.31934578438771133,0.25359101325742106
1,"['ballerinas', 'bootsschuhe', 'halbschuhe', 'sneaker']",0.40617007002636996,0.5434228639126237,
2,"['shirts', 'tops', 'blusen', 'hemden']",0.7260826493971664,0.4022853788803182,
3,"['homewear', 'pullover', 'boleros', 'strickjacken']",0.7319934703166974,0.40249265125241307,
5,"['plateau schuhe', 'high heels', 'pumps']",0.2332324204892517,0.6403688793339879,
6,"['winterschuhe', 'stiefel', 'stiefeletten']",0.40034064501392297,0.5467776314535491,
7,"['stulpen', 'bademode', 'wäsche']",0.5846003388083929,0.45870039670588586,
8,['hausschuhe'],0.5168889679158242,0.4873405859680205,
9,"['wedges', 'sommerschuhe', 'sandalen', 'sandaletten', 'pantoletten', 'zehentrenner']",0.3989173188983328,0.5480472378275315,
10,"['lackschuhe', 'lederschuhe']",0.2034433148022768,0.658398219609396,
11,"['schals', 'tücher']",0.6868758776108924,0.42441404927886023,
12,"['jacken', 'mäntel']",0.7724633274503963,0.38471776130265645,
13,"['geldbeutel', 'taschen']",0.43650087623343403,0.5281322487431405,
18,['röcke'],0.7070813829713423,0.41539587869973554,
20,['schmuck'],0.601790374037579,0.4511023981707932,
21,['gürtel'],0.6770681077228472,0.4276374364451599,
26,['uhren'],0.6403117729176361,0.4373244034090317,
